Starting new receiver log.

Received at 1705623482.7684867: Sent at 1705623482.7681513, Delay: 0.00033545494079589844 seconds, Priority: low

Received at 1705623482.8691485: Sent at 1705623482.8687177, Delay: 0.00043082237243652344 seconds, Priority: low

Received at 1705623482.9701989: Sent at 1705623482.9693904, Delay: 0.0008084774017333984 seconds, Priority: low

Received at 1705623483.0714: Sent at 1705623483.0705566, Delay: 0.0008432865142822266 seconds, Priority: low

Received at 1705623483.141033: Sent at 1705623483.1407466, Delay: 0.00028634071350097656 seconds, Priority: high

Received at 1705623483.172108: Sent at 1705623483.1717718, Delay: 0.0003361701965332031 seconds, Priority: low

Received at 1705623483.2731647: Sent at 1705623483.2723053, Delay: 0.0008594989776611328 seconds, Priority: low

Received at 1705623483.374595: Sent at 1705623483.3736384, Delay: 0.0009565353393554688 seconds, Priority: low

Received at 1705623483.4758918: Sent at 1705623483.4750013, Delay: 0.0008904933929443359 seconds, Priority: low

Received at 1705623483.5765924: Sent at 1705623483.5762494, Delay: 0.00034308433532714844 seconds, Priority: low

Received at 1705623483.67775: Sent at 1705623483.676827, Delay: 0.00092315673828125 seconds, Priority: low

Received at 1705623483.7791026: Sent at 1705623483.7782147, Delay: 0.0008878707885742188 seconds, Priority: low

Received at 1705623483.8798146: Sent at 1705623483.8794847, Delay: 0.0003299713134765625 seconds, Priority: low

Received at 1705623483.9802792: Sent at 1705623483.9800003, Delay: 0.0002789497375488281 seconds, Priority: low

Received at 1705623484.0808125: Sent at 1705623484.0804882, Delay: 0.000324249267578125 seconds, Priority: low

Received at 1705623484.1421604: Sent at 1705623484.141867, Delay: 0.00029349327087402344 seconds, Priority: high

Received at 1705623484.1812935: Sent at 1705623484.180997, Delay: 0.00029659271240234375 seconds, Priority: low

Received at 1705623484.2817497: Sent at 1705623484.2814746, Delay: 0.0002751350402832031 seconds, Priority: low

Received at 1705623484.3822176: Sent at 1705623484.3819072, Delay: 0.0003104209899902344 seconds, Priority: low

Received at 1705623484.4827294: Sent at 1705623484.4823773, Delay: 0.0003521442413330078 seconds, Priority: low

Received at 1705623484.5832422: Sent at 1705623484.5829222, Delay: 0.0003199577331542969 seconds, Priority: low

Received at 1705623484.6837497: Sent at 1705623484.683425, Delay: 0.0003247261047363281 seconds, Priority: low

Received at 1705623484.7842317: Sent at 1705623484.783928, Delay: 0.0003037452697753906 seconds, Priority: low

Received at 1705623484.8846185: Sent at 1705623484.884386, Delay: 0.00023245811462402344 seconds, Priority: low

Received at 1705623484.985141: Sent at 1705623484.984811, Delay: 0.0003299713134765625 seconds, Priority: low

Received at 1705623485.0857165: Sent at 1705623485.0853906, Delay: 0.00032591819763183594 seconds, Priority: low

Received at 1705623485.143508: Sent at 1705623485.1432357, Delay: 0.0002722740173339844 seconds, Priority: high

Received at 1705623485.1862078: Sent at 1705623485.1859007, Delay: 0.0003070831298828125 seconds, Priority: low

Received at 1705623485.2866833: Sent at 1705623485.28639, Delay: 0.0002932548522949219 seconds, Priority: low

Received at 1705623485.387132: Sent at 1705623485.3868268, Delay: 0.00030517578125 seconds, Priority: low

Received at 1705623485.4876163: Sent at 1705623485.4873283, Delay: 0.0002880096435546875 seconds, Priority: low

Received at 1705623485.5880942: Sent at 1705623485.5878, Delay: 0.0002942085266113281 seconds, Priority: low

Received at 1705623485.6886039: Sent at 1705623485.6882777, Delay: 0.0003261566162109375 seconds, Priority: low

Received at 1705623485.7891002: Sent at 1705623485.7887857, Delay: 0.00031447410583496094 seconds, Priority: low

Received at 1705623485.8895922: Sent at 1705623485.8892546, Delay: 0.0003376007080078125 seconds, Priority: low

Received at 1705623485.990062: Sent at 1705623485.9897876, Delay: 0.00027441978454589844 seconds, Priority: low

Received at 1705623486.090607: Sent at 1705623486.0902693, Delay: 0.0003376007080078125 seconds, Priority: low

Received at 1705623486.1448905: Sent at 1705623486.1445906, Delay: 0.0002999305725097656 seconds, Priority: high

Received at 1705623486.1911027: Sent at 1705623486.1907845, Delay: 0.00031828880310058594 seconds, Priority: low

Received at 1705623486.2915475: Sent at 1705623486.2912564, Delay: 0.0002911090850830078 seconds, Priority: low

Received at 1705623486.3919709: Sent at 1705623486.3917055, Delay: 0.00026535987854003906 seconds, Priority: low

Received at 1705623486.4925175: Sent at 1705623486.4921815, Delay: 0.00033593177795410156 seconds, Priority: low

Received at 1705623486.5930192: Sent at 1705623486.5927138, Delay: 0.00030541419982910156 seconds, Priority: low

Received at 1705623486.6935196: Sent at 1705623486.6931963, Delay: 0.00032329559326171875 seconds, Priority: low

Received at 1705623486.7940364: Sent at 1705623486.793707, Delay: 0.0003294944763183594 seconds, Priority: low

Received at 1705623486.894534: Sent at 1705623486.8942103, Delay: 0.0003237724304199219 seconds, Priority: low

Received at 1705623486.9950447: Sent at 1705623486.994715, Delay: 0.00032973289489746094 seconds, Priority: low

Received at 1705623487.0955348: Sent at 1705623487.0952215, Delay: 0.0003132820129394531 seconds, Priority: low

Received at 1705623487.146147: Sent at 1705623487.1458697, Delay: 0.0002772808074951172 seconds, Priority: high

Received at 1705623487.1959946: Sent at 1705623487.1957142, Delay: 0.0002803802490234375 seconds, Priority: low

Received at 1705623487.2964675: Sent at 1705623487.2961817, Delay: 0.00028586387634277344 seconds, Priority: low

Received at 1705623487.3968801: Sent at 1705623487.396624, Delay: 0.0002560615539550781 seconds, Priority: low

Received at 1705623487.4972947: Sent at 1705623487.497059, Delay: 0.00023555755615234375 seconds, Priority: low

Received at 1705623487.5977707: Sent at 1705623487.5975087, Delay: 0.0002620220184326172 seconds, Priority: low

Received at 1705623487.6981719: Sent at 1705623487.6979108, Delay: 0.00026106834411621094 seconds, Priority: low

Received at 1705623487.798723: Sent at 1705623487.798364, Delay: 0.0003590583801269531 seconds, Priority: low

Received at 1705623487.8992589: Sent at 1705623487.8989577, Delay: 0.00030112266540527344 seconds, Priority: low

Received at 1705623487.9997516: Sent at 1705623487.9994535, Delay: 0.0002980232238769531 seconds, Priority: low

Received at 1705623488.1002195: Sent at 1705623488.0999856, Delay: 0.0002338886260986328 seconds, Priority: low

Received at 1705623488.1474822: Sent at 1705623488.1472, Delay: 0.00028204917907714844 seconds, Priority: high

Received at 1705623488.2006729: Sent at 1705623488.200447, Delay: 0.0002257823944091797 seconds, Priority: low

Received at 1705623488.3011878: Sent at 1705623488.300899, Delay: 0.0002887248992919922 seconds, Priority: low

Received at 1705623488.4017174: Sent at 1705623488.4013932, Delay: 0.000324249267578125 seconds, Priority: low

Received at 1705623488.50214: Sent at 1705623488.5018685, Delay: 0.0002715587615966797 seconds, Priority: low

Received at 1705623488.6026218: Sent at 1705623488.6023357, Delay: 0.000286102294921875 seconds, Priority: low

Received at 1705623488.703064: Sent at 1705623488.7028139, Delay: 0.00025010108947753906 seconds, Priority: low

Received at 1705623488.8036022: Sent at 1705623488.803266, Delay: 0.0003361701965332031 seconds, Priority: low

Received at 1705623488.90407: Sent at 1705623488.9037852, Delay: 0.0002846717834472656 seconds, Priority: low

Received at 1705623489.0045135: Sent at 1705623489.0042393, Delay: 0.0002741813659667969 seconds, Priority: low

Received at 1705623489.104991: Sent at 1705623489.104711, Delay: 0.0002799034118652344 seconds, Priority: low

Received at 1705623489.1489146: Sent at 1705623489.14858, Delay: 0.0003345012664794922 seconds, Priority: high

Received at 1705623489.205512: Sent at 1705623489.205193, Delay: 0.0003190040588378906 seconds, Priority: low

Received at 1705623489.3060615: Sent at 1705623489.3057127, Delay: 0.00034880638122558594 seconds, Priority: low

Received at 1705623489.4065459: Sent at 1705623489.4062371, Delay: 0.00030875205993652344 seconds, Priority: low

Received at 1705623489.5070438: Sent at 1705623489.5067184, Delay: 0.0003254413604736328 seconds, Priority: low

Received at 1705623489.6074958: Sent at 1705623489.6072044, Delay: 0.0002913475036621094 seconds, Priority: low

Received at 1705623489.7080574: Sent at 1705623489.7077224, Delay: 0.0003349781036376953 seconds, Priority: low

Received at 1705623489.8085575: Sent at 1705623489.8082411, Delay: 0.00031638145446777344 seconds, Priority: low

Received at 1705623489.908948: Sent at 1705623489.908711, Delay: 0.00023698806762695312 seconds, Priority: low

Received at 1705623490.0094788: Sent at 1705623490.0091245, Delay: 0.0003542900085449219 seconds, Priority: low

Received at 1705623490.1099799: Sent at 1705623490.1096804, Delay: 0.0002994537353515625 seconds, Priority: low

Received at 1705623490.150167: Sent at 1705623490.1498733, Delay: 0.000293731689453125 seconds, Priority: high

Received at 1705623490.2105145: Sent at 1705623490.2102094, Delay: 0.00030517578125 seconds, Priority: low

Received at 1705623490.3110626: Sent at 1705623490.31073, Delay: 0.0003325939178466797 seconds, Priority: low

Received at 1705623490.411906: Sent at 1705623490.411274, Delay: 0.0006320476531982422 seconds, Priority: low

